Store ID,Agent,Tenure,Payemnt Info [ System Rentals ] [ FoodHub ],Payemnt Info [ System Rentals ] [ Datman ],Mandate,System Type,Subscribed Tech,Gpin Status,Competitor Name,Number of Google Reviews,Any visible issue with the page?,Google Rating,Google page issue,Food Delivery platforms,Other POS Providers,Others,Avverage Online,Offline Online
807879,Tarek,5.11,12,22,Active,EPOS,APP,Verified,,35,No,3.9,,Other,First Choice,,16,0
814466,Kareem,5.5,6,17,Active,APOS,"PDQ, APP",Verified,,91,No,4.2,,"Just Eat, Uber Eats",None,,16,0
839430,Kareem,4.5,0,0,Active,APOS,APP,Verified,,454,No,4,,Uber Eats,None,,16,0
841290,Kareem,4.4,0,0,Active,APOS,None,Verified,,138,No,4.5,,"Just Eat, Uber Eats, Deliveroo",None,,16,0
828731,Ibrahim,4.11,7,13,Active,APOS,None,Unverified,webfactory,159,No,3.5,,Just Eat,Others,webfactory,16,2
854537,Ibrahim,3.9,12,23,Active,EPOS,None,Verified,,190,No,4.5,,"Just Eat, Deliveroo",None,,16,46
867027,Ibrahim,2.8,7,18,Active,APOS,None,Unverified,thaminrestaurant,208,No,4.5,,None visible,Others,CyberWizard,16,0
868335,Ibrahim,2.6,7,13,Active,APOS,None,Verified,,64,No,3.9,,"Uber Eats, Deliveroo",None,,16,0
2055,Tarek,11.11,6,12,Active,APOS,None,Unverified,foodoo,717,No,4.4,,"Just Eat, Deliveroo",Foodo,,17,0
795647,Ibrahim,7.5,12,15,Active,EPOS,APP,Unverified,Order YOYO,352,No,3.5,,"Just Eat, Deliveroo",Order YOYO,,17,0
795806,Ibrahim,7.4,6,15,Active,EPOS,None,Unverified,Action Prompt LTD,114,No,3.1,,None visible,Action prompt / Feed Me Online,,17,0
796407,Ibrahim,7.3,12,23,Deactivated,EPOS,APP,Verified,,103,No,3,,"Just Eat, Uber Eats",None,,17,12
803705,Hossam,6.2,0,22,Active,EPOS,"PDQ, APP",Unverified,OrderYoYo,110,No,3.5,,Uber Eats,Order YOYO,,17,41
814451,Hossam,5.5,0,0,Deactivated,APOS,None,Unverified,OrderYoYo,164,No,3.6,,"Just Eat, Uber Eats, Deliveroo",Order YOYO,,17,0
828679,Hossam,4.1,7,18,Active,APOS,PDQ,Verified,,118,No,4.5,,"Just Eat, Uber Eats, Deliveroo",None,,17,0
831962,Hossam,4.9,12,18,Active,EPOS,None,Unverified,Native website,240,No,4.8,,None visible,None,,17,0
798008,Kareem,6.11,7,18,Active,APOS,None,Verified,,67,No,3.6,,Just Eat,None,,17,0
846915,Hossam,4.3,0,0,Deactivated,APOS,None,Verified,,109,No,3.6,,"Just Eat, Uber Eats, Deliveroo",None,,17,0
810050,Tarek,5.8,7,18,Active,APOS,None,Unverified,order yoyo,198,No,3.5,,Just Eat,Order YOYO,,17,0
810162,Tarek,5.8,7,13,Active,APOS,Third party integration,Verified,,390,No,4.3,,Just Eat,First Choice,,17,0
811467,Kareem,5.7,12,23,Active,EPOS,PDQ,Unverified,unknown,131,No,4.4,,Uber Eats,None,,17,0
815734,Kareem,5.4,7,18,Active,APOS,None,Unverified,feed me online,141,No,4.4,,None visible,Action prompt / Feed Me Online,,17,0
872239,Hossam,1.11,5,15,Deactivated,EPOS,None,Verified,,194,No,4.7,,Deliveroo,None,,17,0
873210,Hossam,1.9,12,23,Active,EPOS,APP,Unverified,,73,No,3.1,,"Just Eat, Uber Eats, Deliveroo",None,,17,0
831971,Kareem,4.9,7,18,Active,APOS,None,Verified,,76,No,2.9,,"Just Eat, Deliveroo",None,,17,0
835530,Kareem,4.6,7,18,Active,APOS,None,Verified,,71,No,3.8,,"Just Eat, Uber Eats",None,,17,0
822093,Ibrahim,5.1,7,18,Active,APOS,None,Verified,,564,No,4.6,,Deliveroo,None,,17,0
850730,Ibrahim,4,12,18,Deactivated,EPOS,APP,Unverified,unknown,211,No,4.8,,None visible,Others,my food basket,17,0
862221,Ibrahim,3.4,12,23,Active,EPOS,None,Verified,,135,No,4.7,,"Just Eat, Uber Eats, Deliveroo",None,,17,23
794201,Hossam,7.9,12,23,Active,EPOS,None,Unverified,Native website,91,No,3.8,,"Just Eat, Deliveroo",None,,18,1
134,Kareem,16.2,11,18,Active,EPOS,None,Unverified,Dine order,8,No,3.6,,None visible,Dine Order / Kuick,,18,0
7249,Tarek,9.6,24,20,Active,EPOS,APP,Unverified,himself,607,No,3.6,,"Just Eat, Uber Eats, Deliveroo",Others,,18,0
797267,Hossam,7.1,0,15,Active,APOS,"PDQ, APP",Unverified,Native website,198,No,3.1,,"Just Eat, Uber Eats",None,,18,0
798278,Hossam,6.11,6,15,Active,APOS,None,Verified,,168,No,4.5,,"Just Eat, Uber Eats, Deliveroo",None,,18,0
799455,Hossam,6.9,12,20,Active,EPOS,None,Unverified,Mealzo,70,No,4,,"Just Eat, Uber Eats, Deliveroo",Melzo,,18,21
803233,Hossam,6.3,6,17,Active,APOS,None,Unverified,FMO / ActionPrompt,61,No,3.8,,"Just Eat, Uber Eats",Action prompt / Feed Me Online,,18,0
820991,Hossam,5.1,0,12,Deactivated,APOS,None,Unverified,flipdish,481,Yes,3.8,Website blocked,Just Eat,Others,flip dish,18,0
834295,Hossam,7.4,7,18,Active,APOS,PDQ,Verified,,235,No,4.4,,"Just Eat, Uber Eats",None,,18,0
836482,Hossam,4.6,6,17,Active,APOS,None,Unverified,Website not working,64,Yes,4,Website not working,"Just Eat, Uber Eats, Deliveroo",None,,18,0
846372,Hossam,4.3,12,23,Active,EPOS,None,Verified,,149,No,4.1,,"Just Eat, Uber Eats, Deliveroo",None,,18,82
848140,Hossam,4.2,15,22,Active,EPOS,Third party integration,Unverified,OrderYoYo,124,No,3.4,,"Just Eat, Uber Eats",Order YOYO,,18,76
807229,Kareem,5.11,12,23,Active,EPOS,APP,Verified,,668,No,0.2,,None visible,None,,18,0
808412,Kareem,5.1,0,17,Active,EPOS,APP,Unverified,just order online. ltd,137,No,3.9,,Just Eat,Others,chefonline,18,55
862413,Hossam,3.3,7,18,Active,APOS,"APP, Third party integration",Verified,,315,No,4.7,,"Just Eat, Uber Eats",None,,18,47
810328,Tarek,5.8,2,17,Active,APOS,None,Verified,,170,No,4.5,,Other,First Choice,,18,0
818725,Kareem,5.2,12,18,Active,EPOS,APP,Unverified,order yoyo,326,No,3.6,,"Just Eat, Uber Eats",Order YOYO,,18,26
869084,Hossam,2.3,12,23,Active,EPOS,None,Verified,,265,No,4.6,,Just Eat,None,,18,0
873878,Hossam,1.8,12,23,Active,EPOS,None,Verified,,27,No,3.5,,"Just Eat, Uber Eats",None,,18,1
829202,Kareem,4.1,6,17,Active,APOS,None,Verified,,85,No,3.7,,Just Eat,None,,18,0
846922,Kareem,0.3,0,0,Deactivated,APOS,APP,Verified,,96,No,3.7,,Deliveroo,None,,18,0
848418,Kareem,4.2,12,17,Active,EPOS,None,Verified,,177,No,3,,Just Eat,None,,18,0
865532,Kareem,2.11,7,18,Deactivated,APOS,APP,Unverified,,362,No,3.9,,Just Eat,None,,18,0
856638,Ibrahim,3.7,7,18,Active,APOS,None,Unverified,action prompt ltd,94,No,4.7,,None visible,Action prompt / Feed Me Online,,18,1
795509,Hossam,7.6,6,10,Active,APOS,APP,Verified,,29,No,4,,Just Eat,None,,19,0
6837,Tarek,9.9,7,18,Active,APOS,None,Verified,,223,No,3.8,,"Just Eat, Uber Eats, Deliveroo",None,,19,0
793466,Tarek,8,7,18,Active,APOS,None,Verified,,425,No,4.9,,"Just Eat, Uber Eats, Deliveroo",None,,19,0
794416,Tarek,7.8,6,15,Active,APOS,APP,Verified,,195,No,3.9,,"Just Eat, Uber Eats, Deliveroo",None,,19,41
797554,Ibrahim,7,6,12,Active,EPOS,PDQ,Verified,,86,No,3.5,,"Just Eat, Uber Eats",None,,19,0
799744,Hossam,6.8,2,2,Active,APOS,None,Unverified,OrderYoYo,39,No,3.7,,"Just Eat, Uber Eats",Order YOYO,,19,0
803038,Hossam,6.4,6,12,Active,APOS,"PDQ, APP",Verified,,179,No,3.8,,"Just Eat, Uber Eats, Deliveroo",None,,19,1
798946,Ibrahim,6.9,12,23,Active,EPOS,None,Verified,,153,No,2.8,,"Just Eat, Uber Eats, Deliveroo",None,,19,0
799534,Tarek,6.8,2,10,Deactivated,APOS,"PDQ, APP",Unverified,dine order,178,No,3.1,,"Just Eat, Deliveroo",Dine Order / Kuick,,19,0
808383,Hossam,5.1,2,17,Active,APOS,"PDQ, APP",Verified,,281,No,3.4,,"Just Eat, Uber Eats, Deliveroo",None,,19,0
810082,Hossam,5.8,6,17,Active,APOS,APP,Unverified,Native website,489,No,4.7,,Deliveroo,None,,19,0
813782,Hossam,5.5,6,12,Active,APOS,APP,Verified,,3,No,3.7,,"Just Eat, Deliveroo",None,,19,0
802622,Tarek,6.4,7,18,Active,APOS,APP,Unverified,himself,222,No,4.3,,"Uber Eats, Deliveroo",None,,19,0
835724,Hossam,4.6,6,17,Active,APOS,None,Unverified,OrderYoYo,90,No,4.3,,"Just Eat, Uber Eats",Order YOYO,,19,1
797592,Kareem,7,6,17,Deactivated,APOS,APP,Verified,,273,No,3,,"Just Eat, Deliveroo",None,,19,48
798284,Kareem,6.11,0,10,Active,APOS,None,Verified,,54,No,3.6,,"Just Eat, Uber Eats, Deliveroo",None,,19,0
800388,Kareem,6.7,7,18,Active,APOS,None,Not found,,,,,,None visible,Others,astra,19,1
803130,Ibrahim,6.4,7,13,Active,EPOS,APP,Verified,,187,No,4.6,,Deliveroo,"Order YOYO, Action prompt / Feed Me Online, Others",oofta,19,0
845235,Hossam,4.3,6,18,Active,APOS,None,Verified,,293,No,3.8,,None visible,None,,19,0
852339,Hossam,3.11,0,0,Deactivated,Web Only,None,Verified,,46,No,4.5,,"Uber Eats, Deliveroo",None,,19,0
853682,Hossam,3.1,7,18,Active,APOS,None,Verified,,20,No,5,,Uber Eats,None,,19,0
803590,Kareem,6.2,12,23,Active,EPOS,APP,Unverified,my food basket,107,No,3.7,,None visible,Others,my food basket,19,0
805271,Ibrahim,6.1,12,23,Active,EPOS,None,Unverified,action prompt,334,No,4,,Just Eat,"Action prompt / Feed Me Online, Others",tilltech,19,0
806690,Tarek,6,0,17,Deactivated,APOS,PDQ,Verified,,114,No,3.1,,Just Eat,First Choice,,19,0
808103,Tarek,5..10,6,12,Deactivated,APOS,None,Unverified,himself,95,No,3.5,,Deliveroo,Others,,19,0
866726,Hossam,2.9,7,18,Active,APOS,None,Unverified,FMO / ActionPrompt,74,No,3.8,,"Just Eat, Uber Eats, Deliveroo",Action prompt / Feed Me Online,,19,0
810508,Kareem,5.7,2,17,Active,APOS,None,Verified,,381,No,3.8,,"Just Eat, Uber Eats",None,,19,0
811021,Kareem,5.7,2,17,Active,APOS,None,Unverified,feed me,5,No,4.2,,None visible,"Action prompt / Feed Me Online, Others",foodit,19,0
810465,Ibrahim,5.8,6,17,Deactivated,EPOS,None,Unverified,quick stamp print web,353,No,4.5,,None visible,Others,quick stamp print web,19,7
874618,Hossam,1.6,7,18,Active,APOS,None,Unverified,OrderYoYo,97,No,4.7,,None visible,Order YOYO,,19,0
822660,Kareem,5.1,6,12,Active,APOS,APP,Verified,,189,No,4.5,,"Just Eat, Uber Eats",None,,19,0
856308,Kareem,3.8,7,18,Active,APOS,PDQ,Unverified,,392,No,4.2,,Just Eat,None,,19,0
